Модель,Цена,Год выпуска,Пробег,Кузов,Объем,Мощность,Коробка,Тип двигателя,Топливо,Расход,Привод,Разгон,"Максимальная скорость, км/ч",Страна марки,Класс,Цвет,Состояние,Владельцы,ПТС
Opel Astra H Рестайлинг,449000.0,2012.0,92505.0,седан,1.6,115.0,механика,бензин,АИ-95,6.3,передний,11.7,191.0,Германия,C,белый,не требует ремонта,1,оригинал
Nissan Lucino,249000.0,1997.0,199000.0,хэтчбек 5 дв.,1.5,105.0,автомат,бензин,АИ-92,nan,передний,nan,6.9,Япония,C,белый,не требует ремонта,3,оригинал
Hyundai Matrix I Рестайлинг,300000.0,2006.0,133000.0,компактвэн,1.6,103.0,механика,бензин,АИ-92,8.0,передний,12.7,170.0,Южная Корея,M,зелёный,не требует ремонта,1,оригинал
BMW 5 серия  V (E60/E61) Рестайлинг 530i,649000.0,2007.0,200109.0,седан,3.0,272.0,автомат,бензин,АИ-95,9.3,задний,6.6,250.0,Германия,E,чёрный,не требует ремонта,3,оригинал
Hyundai Elantra IV (HD),449000.0,2010.0,174000.0,седан,1.6,122.0,автомат,бензин,АИ-92,6.7,передний,12.2,180.0,Южная Корея,C,бежевый,не требует ремонта,2,оригинал
Hyundai Elantra IV (HD),460000.0,2009.0,105000.0,седан,1.6,122.0,автомат,бензин,АИ-92,6.7,передний,12.2,180.0,Южная Корея,C,серебристый,не требует ремонта,3,оригинал
Kia Optima III,735000.0,2012.0,120000.0,седан,2.0,150.0,автомат,бензин,АИ-95,7.6,передний,10.9,202.0,Южная Корея,D,белый,не требует ремонта,1,оригинал
Chevrolet Cobalt II,370000.0,2013.0,98100.0,седан,1.5,105.0,автомат,бензин,АИ-95,7.6,передний,11.7,170.0,США,B,серебристый,не требует ремонта,1,оригинал
Hyundai Elantra IV (HD),460000.0,2009.0,105000.0,седан,1.6,122.0,автомат,бензин,АИ-92,6.7,передний,12.2,180.0,Южная Корея,C,серебристый,не требует ремонта,3,оригинал
Mitsubishi Outlander II Рестайлинг,959000.0,2011.0,184142.0,внедорожник 5 дв.,2.4,170.0,вариатор,бензин,АИ-95,9.3,полный,10.8,190.0,Япония,J,коричневый,не требует ремонта,1,оригинал
Ford Fiesta Mk5,319000.0,2008.0,115701.0,хэтчбек 5 дв.,1.6,100.0,автомат,бензин,АИ-95,7.4,передний,11.9,179.0,США,B,серый,не требует ремонта,3,оригинал
Honda Civic VIII Рестайлинг,390000.0,2009.0,203000.0,седан,1.8,140.0,механика,бензин,АИ-95,6.6,передний,9.1,200.0,Япония,C,голубой,не требует ремонта,3,дубликат
Volkswagen Passat CC I,650000.0,2011.0,146000.0,седан,1.8,160.0,робот,бензин,АИ-95,7.3,передний,8.5,220.0,Германия,E,белый,не требует ремонта,3,дубликат
Kia Sportage III,895000.0,2011.0,144384.0,внедорожник 5 дв.,2.0,150.0,автомат,бензин,АИ-95,8.2,полный,11.2,180.0,Южная Корея,J,белый,не требует ремонта,2,оригинал
BMW X6  II (F16) 30d,3700000.0,2016.0,38724.0,внедорожник 5 дв.,3.0,249.0,автомат,дизель,ДТ,6.0,полный,6.7,230.0,Германия,J,белый,не требует ремонта,3,оригинал
Honda Accord VII Рестайлинг,485000.0,2006.0,178794.0,седан,2.0,155.0,автомат,бензин,АИ-95,8.0,передний,10.5,215.0,Япония,D,коричневый,не требует ремонта,3,оригинал
Nissan X-Trail III,1298000.0,2015.0,90000.0,внедорожник 5 дв.,2.0,144.0,вариатор,бензин,АИ-95,7.5,полный,12.1,180.0,Япония,J,чёрный,не требует ремонта,1,оригинал
Hyundai Santa Fe III Рестайлинг,1530000.0,2015.0,146000.0,внедорожник 5 дв.,2.2,200.0,автомат,дизель,ДТ,7.7,полный,9.6,203.0,Южная Корея,J,белый,не требует ремонта,1,дубликат
Hyundai Solaris I Рестайлинг,680000.0,2016.0,74000.0,седан,1.6,123.0,автомат,бензин,АИ-92,6.5,передний,11.2,185.0,Южная Корея,B,белый,не требует ремонта,1,оригинал
Hyundai Elantra V (MD),640000.0,2011.0,89000.0,седан,1.6,132.0,механика,бензин,АИ-95,6.1,передний,10.7,200.0,Южная Корея,C,красный,не требует ремонта,2,оригинал
Skoda Rapid I Рестайлинг,640000.0,2017.0,80000.0,лифтбек,1.6,90.0,механика,бензин,АИ-95,5.8,передний,11.4,185.0,Чехия,B,белый,не требует ремонта,1,оригинал
Hyundai Elantra V (MD) Рестайлинг,740000.0,2014.0,99000.0,седан,1.6,132.0,автомат,бензин,АИ-92,6.9,передний,11.6,195.0,Южная Корея,C,коричневый,не требует ремонта,1,оригинал
Citroen DS4,750000.0,2014.0,88000.0,хэтчбек 5 дв.,1.6,150.0,автомат,бензин,АИ-95,7.7,передний,9.0,212.0,Франция,C,фиолетовый,не требует ремонта,2,оригинал
Hyundai Solaris I Рестайлинг,630000.0,2015.0,83000.0,седан,1.6,123.0,автомат,бензин,АИ-92,6.5,передний,11.2,185.0,Южная Корея,B,белый,не требует ремонта,2,оригинал
Hyundai Solaris I,480000.0,2012.0,97000.0,седан,1.6,123.0,механика,бензин,АИ-92,6.0,передний,10.2,190.0,Южная Корея,B,фиолетовый,не требует ремонта,2,оригинал
Ford Mondeo IV Рестайлинг,695000.0,2014.0,73000.0,седан,2.0,145.0,механика,бензин,АИ-95,7.9,передний,9.9,210.0,США,D,белый,не требует ремонта,1,оригинал
Kia Ceed II Рестайлинг,860000.0,2016.0,54000.0,хэтчбек 5 дв.,1.6,130.0,автомат,бензин,АИ-95,6.8,передний,11.5,192.0,Южная Корея,C,серебристый,не требует ремонта,1,оригинал
Kia Rio III,478000.0,2012.0,68000.0,седан,1.4,107.0,механика,бензин,АИ-92,5.9,передний,11.5,190.0,Южная Корея,B,белый,не требует ремонта,3,оригинал
LADA (ВАЗ) 2114,170000.0,2011.0,185000.0,хэтчбек 5 дв.,1.6,81.0,механика,бензин,АИ-95,7.6,передний,13.5,160.0,Россия,B,серебристый,не требует ремонта,3,дубликат
LADA (ВАЗ) Vesta I,595000.0,2016.0,8550.0,седан,1.6,106.0,механика,бензин,АИ-92,6.9,передний,11.2,175.0,Россия,B,красный,не требует ремонта,1,оригинал
Renault Sandero II Stepway,549000.0,2015.0,48288.0,хэтчбек 5 дв.,1.6,82.0,механика,бензин,АИ-95,7.3,передний,12.3,165.0,Франция,B,серебристый,не требует ремонта,1,оригинал
LADA (ВАЗ) XRAY I,625000.0,2018.0,13762.0,хэтчбек 5 дв.,1.6,106.0,механика,бензин,АИ-95,7.2,передний,11.4,176.0,Россия,B,бежевый,не требует ремонта,1,оригинал
Mitsubishi ASX I Рестайлинг,780000.0,2013.0,124600.0,внедорожник 5 дв.,2.0,150.0,вариатор,бензин,АИ-92,8.1,полный,11.9,188.0,Япония,J,белый,не требует ремонта,2,оригинал
Mercedes-Benz C-klasse  II (W203) Рестайлинг 220,530000.0,2005.0,181000.0,универсал 5 дв.,2.2,150.0,автомат,дизель,ДТ,6.6,задний,10.5,218.0,Германия,D,бежевый,не требует ремонта,2,оригинал
Land Rover Range Rover IV,2879000.0,2013.0,120023.0,внедорожник 5 дв.,3.0,248.0,автомат,дизель,ДТ,7.5,полный,7.9,209.0,Великобритания,J,коричневый,не требует ремонта,3,оригинал
Peugeot 308 I,459000.0,2011.0,85732.0,хэтчбек 5 дв.,1.6,120.0,автомат,бензин,АИ-95,7.3,передний,14.5,188.0,Франция,C,серебристый,не требует ремонта,3,оригинал
Renault Sandero I,379000.0,2012.0,188300.0,хэтчбек 5 дв.,1.4,75.0,механика,бензин,АИ-95,6.9,передний,13.0,162.0,Франция,B,чёрный,не требует ремонта,3,оригинал
Opel Vectra C Рестайлинг,479000.0,2008.0,131478.0,седан,1.8,140.0,робот,бензин,АИ-95,7.2,передний,10.7,210.0,Германия,D,серый,не требует ремонта,2,оригинал
Toyota Land Cruiser 100 Series Рестайлинг 2,1450000.0,2007.0,220553.0,внедорожник 5 дв.,4.7,235.0,автомат,бензин,АИ-95,16.6,полный,13.6,175.0,Япония,J,чёрный,не требует ремонта,3,оригинал
Kia Sportage III Рестайлинг,968000.0,2014.0,88822.0,внедорожник 5 дв.,2.0,150.0,автомат,бензин,АИ-95,8.4,передний,11.5,176.0,Южная Корея,J,чёрный,не требует ремонта,2,оригинал
Nissan Qashqai I,499000.0,2007.0,216923.0,внедорожник 5 дв.,2.0,141.0,вариатор,бензин,АИ-95,7.9,передний,10.7,190.0,Япония,J,золотистый,не требует ремонта,3,оригинал
Mazda 3 II (BL),540000.0,2011.0,84000.0,седан,1.6,105.0,автомат,бензин,АИ-95,7.3,передний,13.1,177.0,Япония,C,голубой,не требует ремонта,2,оригинал
Mazda 3 II (BL),540000.0,2011.0,84000.0,седан,1.6,105.0,автомат,бензин,АИ-95,7.3,передний,13.1,177.0,Япония,C,голубой,не требует ремонта,2,оригинал
Kia Rio  III 6-speed,525000.0,2014.0,80000.0,седан,1.6,123.0,автомат,бензин,АИ-92,6.4,передний,11.2,185.0,Южная Корея,B,голубой,не требует ремонта,2,оригинал
Mitsubishi L200 IV,1030000.0,2013.0,96100.0,пикап двойная кабина,2.5,178.0,автомат,nan,дизель,nan,ДТ,nan,170.0,Япония,J,чёрный,не требует ремонта,3,оригинал
Chevrolet Aveo II,400000.0,2012.0,66231.0,седан,1.6,115.0,механика,бензин,АИ-95,6.6,передний,11.3,189.0,США,B,чёрный,не требует ремонта,2,оригинал
LADA (ВАЗ) 2121 (4x4) Urban,450000.0,2015.0,44423.0,внедорожник 3 дв.,1.7,83.0,механика,бензин,АИ-95,9.7,полный,17.0,142.0,Россия,J,красный,не требует ремонта,3,оригинал
Hyundai Creta I,1299000.0,2018.0,9859.0,внедорожник 5 дв.,2.0,149.0,автомат,бензин,АИ-95,8.0,полный,11.3,179.0,Южная Корея,J,синий,не требует ремонта,3,оригинал
Audi Q7 I,1270000.0,2007.0,119216.0,внедорожник 5 дв.,3.6,280.0,автомат,бензин,АИ-98,12.9,полный,8.5,225.0,Германия,J,зелёный,не требует ремонта,1,оригинал
Peugeot 207 I,295000.0,2008.0,134058.0,хэтчбек 5 дв.,1.4,90.0,робот,бензин,АИ-95,6.2,передний,12.7,180.0,Франция,B,синий,не требует ремонта,3,дубликат
Opel Astra H Рестайлинг,500000.0,2011.0,85000.0,седан,1.8,140.0,автомат,бензин,АИ-95,7.8,передний,11.4,188.0,Германия,C,белый,не требует ремонта,3,оригинал
LADA (ВАЗ) 21099,57000.0,1996.0,220000.0,седан,1.5,70.0,механика,бензин,АИ-92,7.7,передний,14.0,155.0,Россия,B,серебристый,не требует ремонта,3,оригинал
Nissan Qashqai II,955000.0,2014.0,92401.0,внедорожник 5 дв.,2.0,144.0,вариатор,бензин,АИ-95,6.9,передний,10.1,184.0,Япония,J,фиолетовый,не требует ремонта,1,оригинал
Audi A6 IV (C7),1199000.0,2014.0,73682.0,седан,2.8,204.0,робот,бензин,АИ-95,8.0,полный,8.1,240.0,Германия,E,чёрный,не требует ремонта,3,оригинал
Kia Rio III,425000.0,2011.0,99250.0,седан,1.4,107.0,механика,бензин,АИ-92,5.9,передний,11.5,190.0,Южная Корея,B,красный,не требует ремонта,1,оригинал
Kia Sorento II Рестайлинг,1730000.0,2017.0,17123.0,внедорожник 5 дв.,2.4,175.0,автомат,бензин,АИ-95,8.8,полный,11.5,190.0,Южная Корея,J,белый,не требует ремонта,1,оригинал
Hyundai Solaris II,749000.0,2017.0,28562.0,седан,1.6,123.0,механика,бензин,АИ-92,6.0,передний,10.3,193.0,Южная Корея,B,белый,не требует ремонта,1,оригинал
Honda Fit I,250000.0,2003.0,305000.0,хэтчбек 5 дв.,1.5,110.0,вариатор,бензин,АИ-92,nan,передний,nan,5.0,Япония,B,серебристый,не требует ремонта,3,оригинал
Toyota Camry VII (XV50) Рестайлинг,1395000.0,2016.0,50242.0,седан,2.5,181.0,автомат,бензин,АИ-95,7.8,передний,9.0,210.0,Япония,E,белый,не требует ремонта,1,оригинал
Chevrolet Cruze I,415000.0,2011.0,128531.0,седан,1.6,109.0,автомат,бензин,АИ-95,8.3,передний,13.5,177.0,США,C,серебристый,не требует ремонта,3,оригинал
Kia Rio III Рестайлинг,669000.0,2017.0,46520.0,седан,1.6,123.0,механика,бензин,АИ-95,6.4,передний,10.3,190.0,Южная Корея,B,белый,не требует ремонта,1,оригинал
Toyota Camry VII (XV50) Рестайлинг 2,1629000.0,2017.0,29565.0,седан,2.5,181.0,автомат,бензин,АИ-95,7.8,передний,9.0,210.0,Япония,E,белый,не требует ремонта,1,оригинал
Hyundai Solaris II,780000.0,2017.0,37000.0,седан,1.6,123.0,автомат,бензин,АИ-92,6.6,передний,11.2,192.0,Южная Корея,B,белый,не требует ремонта,1,оригинал
Volkswagen Jetta VI,699000.0,2014.0,97214.0,седан,1.4,122.0,робот,бензин,АИ-98,6.0,передний,9.8,202.0,Германия,C,белый,не требует ремонта,1,оригинал
Hyundai Solaris II,757000.0,2017.0,33320.0,седан,1.6,123.0,автомат,бензин,АИ-92,6.6,передний,11.2,192.0,Южная Корея,B,белый,не требует ремонта,1,оригинал
Land Rover Range Rover IV,2798000.0,2013.0,129972.0,внедорожник 5 дв.,3.0,248.0,автомат,дизель,ДТ,7.5,полный,7.9,209.0,Великобритания,J,чёрный,не требует ремонта,2,оригинал
Peugeot Expert II Рестайлинг Long,1700000.0,2016.0,98000.0,минивэн,2.0,163.0,автомат,дизель,ДТ,7.6,передний,12.0,170.0,Франция,M,серый,не требует ремонта,1,оригинал
Kia Rio II Рестайлинг,370000.0,2010.0,120000.0,седан,1.4,95.0,автомат,бензин,АИ-92,6.9,передний,14.5,168.0,Южная Корея,B,красный,не требует ремонта,3,оригинал
Hyundai ix35 I,860000.0,2012.0,93000.0,внедорожник 5 дв.,2.0,150.0,автомат,бензин,АИ-95,7.9,передний,10.6,180.0,Южная Корея,J,белый,не требует ремонта,1,оригинал
Porsche Cayenne  II (958) GTS,2185000.0,2012.0,70600.0,внедорожник 5 дв.,4.8,420.0,автомат,бензин,АИ-98,10.7,полный,5.7,261.0,Германия,J,белый,не требует ремонта,2,оригинал
Ford Focus III,483000.0,2012.0,101300.0,хэтчбек 5 дв.,1.6,85.0,механика,бензин,АИ-95,5.9,передний,14.9,170.0,США,C,синий,не требует ремонта,2,оригинал
Kia Rio II Рестайлинг,305000.0,2009.0,97776.0,седан,1.4,97.0,механика,бензин,АИ-95,6.2,передний,12.3,176.0,Южная Корея,B,чёрный,не требует ремонта,3,оригинал
Land Rover Range Rover Sport II,2135000.0,2013.0,109000.0,внедорожник 5 дв.,3.0,249.0,автомат,дизель,ДТ,7.9,полный,7.6,210.0,Великобритания,J,белый,не требует ремонта,2,оригинал
Mercedes-Benz B-klasse  II (W246) 180,798000.0,2013.0,114044.0,хэтчбек 5 дв.,1.6,122.0,робот,бензин,АИ-95,5.9,передний,10.2,190.0,Германия,C,серый,не требует ремонта,1,оригинал
Nissan Juke I,769000.0,2013.0,47845.0,внедорожник 5 дв.,1.6,117.0,вариатор,бензин,АИ-95,6.3,передний,11.5,170.0,Япония,J,белый,не требует ремонта,3,оригинал
Mercedes-Benz GLE  I (W166) 350 d,3485000.0,2015.0,30630.0,внедорожник 5 дв.,3.0,249.0,автомат,дизель,ДТ,6.6,полный,7.1,225.0,Германия,J,синий,не требует ремонта,1,оригинал
Porsche Cayenne  II Рестайлинг (958) S,3780000.0,2015.0,86300.0,внедорожник 5 дв.,3.6,420.0,автомат,бензин,АИ-95,9.8,полный,5.5,259.0,Германия,J,чёрный,не требует ремонта,1,оригинал
Toyota Camry VI (XV40),535000.0,2006.0,132000.0,седан,3.5,277.0,автомат,бензин,АИ-95,9.9,передний,6.8,230.0,Япония,E,серебристый,не требует ремонта,3,оригинал
Kia Cerato III,740000.0,2014.0,52765.0,седан,1.6,130.0,автомат,бензин,АИ-95,6.8,передний,11.6,195.0,Южная Корея,C,белый,не требует ремонта,1,оригинал
Renault Duster I Рестайлинг,830000.0,2016.0,71076.0,внедорожник 5 дв.,2.0,143.0,автомат,бензин,АИ-95,8.7,полный,11.5,174.0,Франция,J,белый,не требует ремонта,1,оригинал
LADA (ВАЗ) Granta I,329000.0,2015.0,44014.0,лифтбек,1.6,106.0,механика,бензин,АИ-95,6.7,передний,10.9,179.0,Россия,B,оранжевый,не требует ремонта,2,оригинал
Nissan Terrano III (D10),930000.0,2017.0,18195.0,внедорожник 5 дв.,2.0,143.0,механика,бензин,АИ-95,7.8,полный,10.7,180.0,Япония,J,белый,не требует ремонта,1,оригинал
Hyundai H-1 II,1390000.0,2014.0,143000.0,минивэн,2.5,170.0,автомат,дизель,ДТ,8.5,задний,14.4,180.0,Южная Корея,M,белый,не требует ремонта,2,оригинал
BMW 3 серия  VI (F3x) 320i,1250000.0,2013.0,123000.0,седан,2.0,184.0,автомат,бензин,АИ-95,5.9,задний,7.6,235.0,Германия,D,чёрный,не требует ремонта,3,оригинал
Ravon R2,525000.0,2016.0,33000.0,хэтчбек 5 дв.,1.3,85.0,автомат,бензин,АИ-95,nan,передний,12.4,161.0,Узбекистан,A,серебристый,не требует ремонта,1,оригинал
Opel Astra J Рестайлинг,620000.0,2014.0,112000.0,хэтчбек 5 дв.,1.6,115.0,автомат,бензин,АИ-95,7.1,передний,13.3,182.0,Германия,C,бежевый,не требует ремонта,1,оригинал
Infiniti FX  II (S51) Рестайлинг FX37,1390000.0,2013.0,106429.0,внедорожник 5 дв.,3.7,333.0,автомат,бензин,АИ-95,12.2,полный,6.8,233.0,Япония,J,коричневый,не требует ремонта,3,оригинал
Renault Logan II,650000.0,2016.0,15000.0,седан,1.6,102.0,автомат,бензин,АИ-95,8.3,передний,11.7,171.0,Франция,B,белый,не требует ремонта,1,оригинал
Renault Sandero II Stepway,649000.0,2015.0,15654.0,хэтчбек 5 дв.,1.6,82.0,робот,бензин,АИ-95,7.2,передний,12.6,158.0,Франция,B,синий,не требует ремонта,1,оригинал
Mazda CX-5 I,985000.0,2013.0,86000.0,внедорожник 5 дв.,2.0,150.0,автомат,бензин,АИ-95,6.3,передний,8.9,191.0,Япония,J,белый,не требует ремонта,1,оригинал
Hyundai Solaris I Рестайлинг,675000.0,2016.0,28294.0,седан,1.4,107.0,автомат,бензин,АИ-92,6.4,передний,13.4,170.0,Южная Корея,B,серый,не требует ремонта,1,оригинал
Chevrolet Cruze I Рестайлинг,510000.0,2013.0,109000.0,хэтчбек 5 дв.,1.8,141.0,механика,бензин,АИ-95,6.4,передний,10.0,195.0,США,C,белый,не требует ремонта,3,оригинал
LADA (ВАЗ) Largus I,460000.0,2016.0,75000.0,универсал 5 дв.,1.6,87.0,механика,бензин,АИ-95,8.2,передний,15.4,155.0,Россия,C,серебристый,не требует ремонта,1,оригинал
Nissan Juke I,646000.0,2013.0,27393.0,внедорожник 5 дв.,1.6,117.0,вариатор,бензин,АИ-95,6.3,передний,11.5,170.0,Япония,J,белый,не требует ремонта,3,оригинал
Mercedes-Benz GLC  I (X253) 250,2450000.0,2016.0,55743.0,внедорожник 5 дв.,2.0,211.0,автомат,бензин,АИ-95,7.1,полный,7.3,222.0,Германия,J,чёрный,не требует ремонта,3,оригинал
Chevrolet Aveo II,430000.0,2012.0,90000.0,седан,1.6,115.0,автомат,бензин,АИ-95,7.1,передний,11.7,186.0,США,B,синий,не требует ремонта,2,оригинал
Kia Rio IV,820000.0,2018.0,11000.0,седан,1.6,123.0,автомат,бензин,АИ-92,6.6,передний,11.2,192.0,Южная Корея,B,серебристый,не требует ремонта,1,оригинал
Opel Astra J Рестайлинг,600000.0,2013.0,104000.0,седан,1.6,115.0,механика,бензин,АИ-95,6.6,передний,11.9,193.0,Германия,C,белый,не требует ремонта,1,оригинал
Hyundai Creta I,1280000.0,2018.0,32000.0,внедорожник 5 дв.,2.0,149.0,автомат,бензин,АИ-95,8.0,полный,11.3,179.0,Южная Корея,J,чёрный,не требует ремонта,1,оригинал
Suzuki SX4 I (Classic) Рестайлинг,470000.0,2010.0,87000.0,хэтчбек 5 дв.,1.6,112.0,автомат,бензин,АИ-95,7.1,передний,12.3,175.0,Япония,J,серебристый,не требует ремонта,2,оригинал
Nissan Pathfinder III Рестайлинг,1145000.0,2012.0,148000.0,внедорожник 5 дв.,2.5,190.0,автомат,дизель,ДТ,9.0,полный,10.7,186.0,Япония,J,серебристый,не требует ремонта,3,оригинал
Hyundai Elantra V (MD) Рестайлинг,780000.0,2015.0,71000.0,седан,1.6,132.0,автомат,бензин,АИ-92,6.9,передний,11.6,195.0,Южная Корея,C,чёрный,не требует ремонта,3,оригинал
Hyundai i30 II,630000.0,2012.0,98000.0,хэтчбек 5 дв.,1.6,130.0,автомат,бензин,АИ-95,6.8,передний,11.9,192.0,Южная Корея,C,синий,не требует ремонта,1,оригинал
Hyundai Solaris I Рестайлинг,610000.0,2016.0,90000.0,хэтчбек 5 дв.,1.6,123.0,механика,бензин,АИ-92,6.1,передний,10.3,190.0,Южная Корея,B,белый,не требует ремонта,1,оригинал
Mercedes-Benz S-klasse Long V (W221) Рестайлинг 500 Long,1350000.0,2011.0,119738.0,седан,4.7,435.0,автомат,бензин,АИ-95,9.9,полный,5.0,250.0,Германия,F,чёрный,не требует ремонта,3,оригинал
Audi Q5 I,830000.0,2008.0,181000.0,внедорожник 5 дв.,2.0,211.0,робот,бензин,АИ-95,8.5,полный,7.2,222.0,Германия,J,серебристый,не требует ремонта,3,оригинал
LADA (ВАЗ) 2112,125000.0,2005.0,124343.0,хэтчбек 5 дв.,1.6,90.0,механика,бензин,АИ-95,nan,передний,12.5,180.0,Россия,B,серебристый,не требует ремонта,3,оригинал
Ford Tourneo Custom I SWB,1890000.0,2017.0,5369.0,минивэн,2.2,125.0,механика,дизель,ДТ,nan,передний,nan,157.0,США,M,бежевый,не требует ремонта,1,оригинал
Toyota Camry VII (XV50) Рестайлинг,1370000.0,2016.0,30400.0,седан,2.5,181.0,автомат,бензин,АИ-95,7.8,передний,9.0,210.0,Япония,E,белый,не требует ремонта,1,оригинал
LADA (ВАЗ) 2107,34500.0,2004.0,91000.0,седан,1.6,74.0,механика,бензин,АИ-95,8.5,задний,16.0,150.0,Россия,B,белый,не требует ремонта,3,оригинал
Great Wall Hover H5,560000.0,2013.0,86000.0,внедорожник 5 дв.,2.4,127.0,механика,бензин,АИ-95,nan,полный,nan,160.0,Китай,J,серебристый,не требует ремонта,1,оригинал
Mitsubishi Pajero Sport II,1150000.0,2013.0,173000.0,внедорожник 5 дв.,2.5,178.0,автомат,дизель,ДТ,9.4,полный,12.4,176.0,Япония,J,коричневый,не требует ремонта,3,оригинал
Opel Astra J Рестайлинг GTC,575000.0,2012.0,90000.0,хэтчбек 3 дв.,1.4,140.0,автомат,бензин,АИ-95,6.8,передний,10.3,200.0,Германия,C,серый,не требует ремонта,2,оригинал
Hyundai Accent  II (ТагАЗ) ТагАЗ,250000.0,2008.0,145000.0,седан,1.5,102.0,механика,бензин,АИ-92,7.5,передний,10.5,181.0,Южная Корея,B,красный,не требует ремонта,3,оригинал
Honda Vezel,1410000.0,2014.0,42000.0,внедорожник 5 дв.,1.5,132.0,робот,гибрид,АИ-92,nan,передний,nan,3.7,Япония,J,серый,не требует ремонта,1,оригинал
Audi A6 IV (C7) Рестайлинг,2270000.0,2018.0,11560.0,седан,1.8,190.0,робот,бензин,АИ-95,5.7,передний,7.9,233.0,Германия,E,белый,не требует ремонта,2,оригинал
Nissan X-Trail II Рестайлинг,960000.0,2014.0,68000.0,внедорожник 5 дв.,2.5,169.0,вариатор,бензин,АИ-95,9.1,полный,10.3,182.0,Япония,J,серый,не требует ремонта,1,оригинал
Hyundai Accent  II (ТагАЗ) ТагАЗ,240000.0,2006.0,156000.0,седан,1.5,92.0,механика,бензин,АИ-92,nan,передний,11.5,175.0,Южная Корея,B,чёрный,не требует ремонта,1,оригинал
SsangYong Actyon II,795000.0,2013.0,69452.0,внедорожник 5 дв.,2.0,149.0,автомат,дизель,ДТ,7.3,передний,11.0,174.0,Южная Корея,J,серебристый,не требует ремонта,1,оригинал
LADA (ВАЗ) Kalina I,235000.0,2011.0,46000.0,хэтчбек 5 дв.,1.6,84.0,механика,бензин,АИ-95,7.8,передний,13.3,160.0,Россия,B,белый,не требует ремонта,2,оригинал
Land Rover Range Rover III Рестайлинг,899900.0,2009.0,144000.0,внедорожник 5 дв.,3.6,272.0,автомат,дизель,ДТ,11.3,полный,9.2,200.0,Великобритания,J,чёрный,не требует ремонта,2,оригинал
Renault Samsung SM3 I,170000.0,2004.0,205125.0,седан,1.5,100.0,механика,nan,бензин,nan,АИ-95,nan,184.0,Южная Корея,C,серебристый,не требует ремонта,2,оригинал
Volkswagen Tiguan I Рестайлинг,775000.0,2011.0,140000.0,внедорожник 5 дв.,2.0,170.0,автомат,бензин,АИ-95,9.9,полный,9.9,197.0,Германия,J,белый,не требует ремонта,1,оригинал
Volkswagen Tiguan I Рестайлинг,690000.0,2012.0,104000.0,внедорожник 5 дв.,1.4,150.0,механика,бензин,АИ-95,8.0,полный,9.6,192.0,Германия,J,бежевый,не требует ремонта,1,оригинал
Land Rover Freelander II Рестайлинг 2,1155000.0,2014.0,195406.0,внедорожник 5 дв.,2.2,190.0,автомат,дизель,ДТ,7.0,полный,9.5,190.0,Великобритания,J,чёрный,не требует ремонта,1,оригинал
Volvo XC90 I Рестайлинг,1300000.0,2010.0,72000.0,внедорожник 5 дв.,2.4,185.0,автомат,дизель,ДТ,9.0,полный,11.5,190.0,Швеция,J,белый,не требует ремонта,1,оригинал
Skoda Rapid Spaceback I,675000.0,2015.0,23252.0,хэтчбек 5 дв.,1.4,125.0,робот,бензин,АИ-95,4.7,передний,8.9,205.0,Чехия,B,белый,не требует ремонта,1,оригинал
Volkswagen Polo V Рестайлинг,540000.0,2015.0,124000.0,седан,1.6,110.0,автомат,бензин,АИ-95,5.9,передний,11.7,184.0,Германия,B,белый,не требует ремонта,1,оригинал
Volkswagen Tiguan I Рестайлинг,870000.0,2012.0,130000.0,внедорожник 5 дв.,2.0,200.0,автомат,nan,бензин,nan,АИ-95,nan,nan,Германия,J,пурпурный,не требует ремонта,3,оригинал
Volkswagen Passat CC I,699000.0,2011.0,95340.0,седан,1.8,152.0,робот,бензин,АИ-95,7.3,передний,8.6,222.0,Германия,E,серый,не требует ремонта,2,оригинал
Mitsubishi Lancer X Рестайлинг,555000.0,2013.0,69900.0,седан,1.6,117.0,автомат,бензин,АИ-95,7.1,передний,14.1,180.0,Япония,C,чёрный,не требует ремонта,1,оригинал
Toyota Camry VII (XV50) Рестайлинг,1299000.0,2014.0,123264.0,седан,2.5,181.0,автомат,бензин,АИ-95,7.8,передний,9.0,210.0,Япония,E,белый,не требует ремонта,2,оригинал
Chevrolet Captiva I Рестайлинг,849000.0,2013.0,117402.0,внедорожник 5 дв.,2.4,167.0,механика,бензин,АИ-95,9.3,полный,10.3,186.0,США,J,белый,не требует ремонта,1,оригинал
Kia Rio II,299000.0,2009.0,150000.0,хэтчбек 5 дв.,1.4,97.0,механика,бензин,АИ-95,6.2,передний,12.3,177.0,Южная Корея,B,красный,не требует ремонта,2,оригинал
Ford Focus III Рестайлинг,735000.0,2016.0,59179.0,седан,1.6,105.0,робот,nan,бензин,nan,АИ-95,nan,nan,США,C,серебристый,не требует ремонта,2,оригинал
Cadillac SRX II,840000.0,2010.0,130000.0,внедорожник 5 дв.,3.0,269.0,автомат,бензин,АИ-95,11.3,полный,8.5,200.0,США,J,серый,не требует ремонта,3,оригинал
Audi Q5 I,869000.0,2010.0,161398.0,внедорожник 5 дв.,2.0,211.0,робот,бензин,АИ-95,8.5,полный,7.2,222.0,Германия,J,чёрный,не требует ремонта,2,оригинал
