Модель,Цена,Год выпуска,Пробег,Кузов,Объем,Мощность,Коробка,Тип двигателя,Топливо,Расход,Привод,Разгон,"Максимальная скорость, км/ч",Страна марки,Класс,Цвет,Состояние,Владельцы,ПТС
LADA (ВАЗ) 2110,70000.0,2001.0,314000.0,седан,1.5,79.0,механика,бензин,АИ-95,nan,передний,14.0,170.0,Россия,B,серебристый,не требует ремонта,3,оригинал
Skoda Octavia II Рестайлинг,460000.0,2011.0,138000.0,лифтбек,1.6,102.0,механика,бензин,АИ-95,7.4,передний,12.3,190.0,Чехия,C,серебристый,не требует ремонта,3,оригинал
Hyundai Solaris I,550000.0,2013.0,31169.0,седан,1.6,123.0,автомат,бензин,АИ-92,6.6,передний,11.4,180.0,Южная Корея,B,серый,не требует ремонта,1,оригинал
Land Rover Range Rover Sport I Рестайлинг,1300000.0,2010.0,133000.0,внедорожник 5 дв.,3.6,272.0,автомат,дизель,ДТ,11.1,полный,9.2,209.0,Великобритания,J,белый,не требует ремонта,3,оригинал
Dodge Stratus II,200000.0,2002.0,154186.0,седан,2.4,152.0,автомат,бензин,АИ-92,nan,передний,10.5,180.0,США,E,белый,не требует ремонта,3,дубликат
Renault Logan II,480000.0,2016.0,76000.0,седан,1.6,82.0,механика,бензин,АИ-95,7.2,передний,11.9,172.0,Франция,B,белый,не требует ремонта,2,оригинал
Hummer H2,2200000.0,2004.0,70000.0,внедорожник 5 дв.,6.0,315.0,автомат,бензин,АИ-92,18.1,полный,12.0,180.0,США,J,чёрный,не требует ремонта,3,оригинал
Peugeot Partner I,145000.0,1997.0,20000.0,компактвэн,1.4,75.0,механика,бензин,АИ-95,nan,передний,17.2,150.0,Франция,M,белый,не требует ремонта,3,оригинал
Chevrolet Niva I Рестайлинг,580000.0,2017.0,32000.0,внедорожник 5 дв.,1.7,80.0,механика,бензин,АИ-95,10.8,полный,19.0,140.0,США,J,серый,не требует ремонта,1,оригинал
Daewoo Nexia I Рестайлинг,110000.0,2011.0,157000.0,седан,1.5,80.0,механика,бензин,АИ-92,8.1,передний,12.5,175.0,Южная Корея,C,серебристый,не требует ремонта,3,оригинал
ЗАЗ Chance,225000.0,2010.0,87450.0,седан,1.5,85.0,механика,бензин,АИ-92,6.7,передний,12.5,172.0,Украина,C,синий,не требует ремонта,1,оригинал
Nissan Micra III (K12),295000.0,2008.0,170000.0,хэтчбек 5 дв.,1.2,80.0,автомат,бензин,АИ-95,6.6,передний,17.9,145.0,Япония,B,серебристый,не требует ремонта,3,оригинал
Hyundai ix35 I,950000.0,2012.0,95000.0,внедорожник 5 дв.,2.0,150.0,автомат,бензин,АИ-95,8.2,полный,11.3,176.0,Южная Корея,J,белый,не требует ремонта,3,оригинал
Ford Focus III,460000.0,2012.0,193000.0,хэтчбек 5 дв.,1.6,105.0,робот,бензин,АИ-95,6.4,передний,13.1,182.0,США,C,серый,не требует ремонта,2,оригинал
LADA (ВАЗ) 2110,89000.0,2002.0,230000.0,седан,1.5,79.0,механика,бензин,АИ-95,nan,передний,14.0,170.0,Россия,B,серебристый,не требует ремонта,3,дубликат
LADA (ВАЗ) 21099,105000.0,2002.0,105000.0,седан,1.5,78.0,механика,бензин,АИ-95,7.4,передний,13.0,156.0,Россия,B,серебристый,не требует ремонта,3,оригинал
Hyundai Sonata  IV (EF) Рестайлинг ТагАЗ,210000.0,2005.0,150000.0,седан,2.0,131.0,механика,бензин,АИ-95,9.2,передний,9.6,200.0,Южная Корея,D,чёрный,не требует ремонта,3,оригинал
Chevrolet Cruze I Рестайлинг,570000.0,2012.0,83000.0,хэтчбек 5 дв.,1.8,141.0,автомат,бензин,АИ-95,7.1,передний,11.3,190.0,США,C,красный,не требует ремонта,1,оригинал
Hyundai Accent  II (ТагАЗ) ТагАЗ,175000.0,2007.0,170000.0,седан,1.5,102.0,механика,бензин,АИ-92,7.5,передний,10.5,181.0,Южная Корея,B,чёрный,не требует ремонта,3,дубликат
Ford Focus II,285000.0,2006.0,220000.0,хэтчбек 5 дв.,1.8,125.0,механика,бензин,АИ-95,nan,передний,10.5,193.0,США,C,синий,не требует ремонта,3,оригинал
Chrysler Sebring II Рестайлинг,620000.0,2004.0,170000.0,кабриолет,2.4,152.0,автомат,бензин,АИ-92,nan,передний,11.0,180.0,США,D,белый,не требует ремонта,3,оригинал
Peugeot 308 I,370000.0,2010.0,154500.0,хэтчбек 5 дв.,1.6,120.0,автомат,бензин,АИ-95,7.3,передний,14.5,188.0,Франция,C,белый,не требует ремонта,3,оригинал
Mazda 6 II (GH) Рестайлинг,600000.0,2011.0,128000.0,седан,2.0,147.0,автомат,бензин,АИ-95,7.7,передний,10.9,205.0,Япония,D,серебристый,не требует ремонта,3,дубликат
Volkswagen Touareg II,1920000.0,2013.0,48000.0,внедорожник 5 дв.,3.6,249.0,автомат,бензин,АИ-95,10.9,полный,8.4,220.0,Германия,J,белый,не требует ремонта,1,оригинал
Volkswagen Golf V,350000.0,2005.0,216300.0,хэтчбек 5 дв.,2.0,140.0,механика,дизель,ДТ,5.9,полный,9.5,203.0,Германия,C,серый,не требует ремонта,3,оригинал
"Toyota Corolla IX (E120, E130) Рестайлинг",280000.0,2005.0,280000.0,седан,1.6,110.0,механика,бензин,АИ-95,7.0,передний,10.2,190.0,Япония,C,чёрный,не требует ремонта,2,оригинал
Chevrolet Niva I Рестайлинг,370000.0,2013.0,147000.0,внедорожник 5 дв.,1.7,80.0,механика,бензин,АИ-95,10.8,полный,19.0,140.0,США,J,серый,не требует ремонта,1,оригинал
Renault Sandero I,360000.0,2013.0,70000.0,хэтчбек 5 дв.,1.4,75.0,механика,бензин,АИ-95,6.9,передний,13.0,162.0,Франция,B,чёрный,не требует ремонта,2,оригинал
Geely MK Cross I,220000.0,2012.0,55000.0,хэтчбек 5 дв.,1.5,94.0,механика,бензин,АИ-92,6.8,передний,11.6,165.0,Китай,B,белый,не требует ремонта,2,оригинал
Peugeot 308 I Рестайлинг,375000.0,2011.0,117000.0,хэтчбек 5 дв.,1.6,120.0,автомат,бензин,АИ-95,6.9,передний,13.0,188.0,Франция,C,белый,не требует ремонта,3,дубликат
SsangYong Actyon II,549000.0,2012.0,120000.0,внедорожник 5 дв.,2.0,149.0,автомат,дизель,ДТ,7.3,передний,11.0,174.0,Южная Корея,J,чёрный,не требует ремонта,2,оригинал
Peugeot 508 I,759000.0,2012.0,103400.0,седан,1.6,150.0,автомат,бензин,АИ-95,7.1,передний,9.2,220.0,Франция,D,серебристый,не требует ремонта,2,оригинал
Hyundai Accent  II (ТагАЗ) ТагАЗ,260000.0,2004.0,174000.0,седан,1.5,102.0,механика,бензин,АИ-92,7.5,передний,10.5,181.0,Южная Корея,B,серебристый,не требует ремонта,3,оригинал
Suzuki Grand Vitara III Рестайлинг 2,1050000.0,2013.0,53000.0,внедорожник 5 дв.,2.4,169.0,автомат,бензин,АИ-95,9.7,полный,12.0,175.0,Япония,J,коричневый,не требует ремонта,2,оригинал
Honda Civic VIII,475000.0,2008.0,226000.0,седан,1.8,140.0,автомат,бензин,АИ-95,6.7,передний,10.4,200.0,Япония,C,серебристый,не требует ремонта,3,дубликат
Mazda 6 III (GJ),999000.0,2013.0,81000.0,седан,2.5,192.0,автомат,бензин,АИ-95,6.5,передний,7.8,223.0,Япония,D,белый,не требует ремонта,3,оригинал
Mazda 626 IV (GE),100000.0,1992.0,100000.0,хэтчбек 5 дв.,1.8,105.0,механика,бензин,АИ-95,nan,передний,10.1,191.0,Япония,D,красный,не требует ремонта,3,оригинал
Honda Civic  VIII Рестайлинг Hybrid,450000.0,2009.0,172000.0,седан,1.3,95.0,вариатор,гибрид,АИ-92,4.6,передний,12.1,185.0,Япония,C,серый,не требует ремонта,1,оригинал
Hyundai Accent II Рестайлинг,230000.0,2004.0,130000.0,седан,1.5,102.0,автомат,бензин,АИ-95,7.8,передний,14.2,169.0,Южная Корея,B,пурпурный,не требует ремонта,3,оригинал
BMW X5  I (E53) Рестайлинг 3.0i,620000.0,2004.0,270000.0,внедорожник 5 дв.,3.0,231.0,автомат,бензин,АИ-95,nan,полный,8.8,210.0,Германия,J,серый,не требует ремонта,3,оригинал
Infiniti EX  I (J50) EX25,1200000.0,2011.0,104000.0,внедорожник 5 дв.,2.5,222.0,автомат,бензин,АИ-95,10.6,полный,9.4,210.0,Япония,J,чёрный,не требует ремонта,2,оригинал
BMW X6  I (E71) 35i,1200000.0,2009.0,155000.0,внедорожник 5 дв.,3.0,306.0,автомат,бензин,АИ-98,12.1,полный,6.7,240.0,Германия,J,белый,не требует ремонта,3,оригинал
LADA (ВАЗ) 2115,110000.0,2004.0,245000.0,седан,1.5,78.0,механика,бензин,АИ-95,7.2,передний,14.0,165.0,Россия,C,голубой,не требует ремонта,3,оригинал
LADA (ВАЗ) Granta I,350000.0,2014.0,80000.0,седан,1.6,98.0,автомат,бензин,АИ-95,7.6,передний,13.7,168.0,Россия,B,белый,не требует ремонта,1,оригинал
Kia Ceed I,360000.0,2007.0,192000.0,хэтчбек 5 дв.,1.4,109.0,механика,бензин,АИ-95,6.1,передний,11.6,187.0,Южная Корея,C,синий,не требует ремонта,2,оригинал
Mercedes-Benz GLK-klasse  I (X204) Рестайлинг 300,1095000.0,2013.0,98850.0,внедорожник 5 дв.,3.5,249.0,автомат,бензин,АИ-95,8.7,полный,7.5,238.0,Германия,J,белый,не требует ремонта,3,оригинал
Infiniti EX  I (J50) EX25,1120000.0,2012.0,145000.0,внедорожник 5 дв.,2.5,222.0,автомат,бензин,АИ-95,10.6,полный,9.4,210.0,Япония,J,белый,не требует ремонта,1,оригинал
Renault Duster I,635000.0,2013.0,103000.0,внедорожник 5 дв.,2.0,135.0,автомат,бензин,АИ-95,8.7,полный,11.7,172.0,Франция,J,белый,не требует ремонта,1,оригинал
BMW X5  I (E53) 3.0d,650000.0,2002.0,375000.0,внедорожник 5 дв.,2.9,184.0,автомат,дизель,ДТ,9.7,полный,10.5,200.0,Германия,J,чёрный,не требует ремонта,3,оригинал
Dodge RAM Regular Cab III (DR/DH),620000.0,2005.0,215000.0,пикап одинарная кабина,3.7,218.0,автомат,nan,бензин,nan,АИ-92,nan,nan,США,J,серый,не требует ремонта,3,оригинал
Datsun mi-DO,375000.0,2015.0,45000.0,хэтчбек 5 дв.,1.6,87.0,автомат,бензин,АИ-95,7.7,передний,14.3,166.0,Япония,B,белый,не требует ремонта,2,оригинал
LADA (ВАЗ) 2112,115000.0,2006.0,200000.0,хэтчбек 5 дв.,1.6,81.0,механика,бензин,АИ-95,nan,передний,13.5,170.0,Россия,B,зелёный,не требует ремонта,3,оригинал
LADA (ВАЗ) 2121 (4x4),335000.0,2009.0,135000.0,внедорожник 3 дв.,1.7,83.0,механика,бензин,АИ-95,9.7,полный,19.0,137.0,Россия,J,белый,не требует ремонта,3,оригинал
BMW X6  I (E71) 30d,1350000.0,2010.0,193000.0,внедорожник 5 дв.,3.0,235.0,автомат,дизель,ДТ,8.9,полный,8.0,220.0,Германия,J,белый,не требует ремонта,2,оригинал
Kia Rio III,479999.0,2014.0,105000.0,седан,1.4,107.0,механика,бензин,АИ-92,5.9,передний,11.5,190.0,Южная Корея,B,красный,не требует ремонта,1,оригинал
Audi TT II (8J),720000.0,2007.0,92000.0,купе,2.0,200.0,робот,бензин,АИ-98,7.7,передний,6.4,240.0,Германия,S,чёрный,не требует ремонта,3,оригинал
Kia Rio III Рестайлинг,720000.0,2017.0,8600.0,седан,1.6,123.0,автомат,бензин,АИ-95,6.4,передний,11.2,185.0,Южная Корея,B,коричневый,не требует ремонта,2,оригинал
